script_name,elapsed_time,crash_count,min_distance,missed_silver_tokens,completed_circuit
AssignmentRussoGabriele.py,174.8932077884674,0,0.7379039742239116,0,True
assignment1.py,167.60269498825073,0,0.46992490739327614,0,True
AssignmentRussoGabriele.py,162.7284791469574,0,0.6496847087411703,0,True
assignment1.py,169.20451593399048,0,0.48110552919166527,0,True
AssignmentRussoGabriele.py,185.68778705596924,0,0.634798787528757,0,True
assignment1.py,170.5240740776062,0,0.4704151478209708,0,True
AssignmentRussoGabriele.py,161.73105883598328,0,0.7337383111925833,0,True
assignment1.py,168.08217692375183,0,0.475216014796364,0,True
AssignmentRussoGabriele.py,172.77892899513245,0,0.6756160522586364,0,True
assignment1.py,168.06103897094727,0,0.4707367301872725,0,True
AssignmentRussoGabriele.py,160.8352611064911,0,0.6419143015586347,0,True
assignment1.py,163.05911803245544,0,0.48042155579336215,0,True
AssignmentRussoGabriele.py,171.8889639377594,0,0.75,0,True
assignment1.py,169.18853306770325,0,0.46737365824079147,0,True
AssignmentRussoGabriele.py,172.90112400054932,0,0.7456188061544758,0,True
assignment1.py,174.82189798355103,0,0.48165806938150163,0,True
AssignmentRussoGabriele.py,240.08410096168518,0,0.75,0,False
assignment1.py,162.16004705429077,0,0.47054876009381713,0,True
AssignmentRussoGabriele.py,220.00497794151306,0,0.6227229117898482,0,True
assignment1.py,171.7592179775238,0,0.47290958710610037,0,True
AssignmentRussoGabriele.py,171.77382516860962,0,0.7445639597696893,0,True
assignment1.py,172.17052507400513,0,0.47807817088236676,0,True
AssignmentRussoGabriele.py,240.09871697425842,0,0.75,0,False
assignment1.py,242.85224294662476,0,0.49322446247263035,0,False
AssignmentRussoGabriele.py,175.1483199596405,0,0.6190631672063466,0,True
assignment1.py,168.70630192756653,0,0.4741205754979276,0,True
AssignmentRussoGabriele.py,173.79057002067566,0,0.6244202827663895,0,True
assignment1.py,172.36494994163513,0,0.4595411733607552,0,True
AssignmentRussoGabriele.py,160.0525951385498,0,0.6627538812186183,0,True
assignment1.py,165.99040007591248,0,0.47370524277208426,0,True
AssignmentRussoGabriele.py,148.8529179096222,0,0.6258329732431283,0,True
assignment1.py,242.16554999351501,0,0.3790506005735724,0,False
AssignmentRussoGabriele.py,167.2505588531494,0,0.6325349304393889,0,True
assignment1.py,158.22473287582397,0,0.4731623482498271,0,True
AssignmentRussoGabriele.py,168.52565789222717,0,0.6794228965819801,0,True
assignment1.py,171.59408903121948,0,0.4753268490194729,0,True
AssignmentRussoGabriele.py,159.8455948829651,0,0.6558955095387997,0,True
assignment1.py,167.101469039917,0,0.4772967878489774,0,True
AssignmentRussoGabriele.py,177.09312510490417,0,0.6416657385785025,0,True
assignment1.py,240.00777792930603,0,0.4743914311038564,0,False
AssignmentRussoGabriele.py,158.83346605300903,0,0.6485775388745868,0,True
assignment1.py,163.9400119781494,0,0.4816154831597367,0,True
AssignmentRussoGabriele.py,174.12784814834595,0,0.75,0,True
assignment1.py,171.05503821372986,0,0.47940259830904347,0,True
AssignmentRussoGabriele.py,176.58018589019775,0,0.6331074069946082,0,True
assignment1.py,240.031996011734,0,0.4834686810892492,0,False
AssignmentRussoGabriele.py,175.40021586418152,0,0.6506040922060857,0,True
assignment1.py,240.03045797348022,0,0.4817903131028768,0,False
AssignmentRussoGabriele.py,162.03499794006348,0,0.641464221164181,0,True
assignment1.py,167.8179018497467,0,0.4672042286756291,0,True
AssignmentRussoGabriele.py,240.21064281463623,0,0.6432891878578637,0,False
assignment1.py,240.3753161430359,0,0.4680008591968925,0,False
AssignmentRussoGabriele.py,170.7646360397339,0,0.6637141871049438,0,True
assignment1.py,168.49007391929626,0,0.4821397335630589,0,True
AssignmentRussoGabriele.py,174.17706394195557,0,0.75,0,True
assignment1.py,172.07031512260437,0,0.47865799030809497,0,True
AssignmentRussoGabriele.py,190.9491150379181,0,0.7468205578358778,0,True
assignment1.py,240.00622081756592,0,0.4688957216349809,0,False
AssignmentRussoGabriele.py,173.95423698425293,0,0.7241887102311666,0,True
assignment1.py,240.0407338142395,0,0.48335207068096875,0,False
